epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.299659378286721,0.5659574468085107,0.723404255319149,0.4774194744584871,0.6958165492666927,0.5541062884483937,0.6748635256571763,0.5003968675273023,0.7764652014652015,0.8985247280730473,0.9002582808816068,22.845842483195852
2,1.4688887768897458,0.7191489361702128,0.7872340425531915,0.6810944759778806,0.763663478485242,0.7176987577639751,0.7492417976288944,0.6973765376808856,0.7892246642246642,0.9577902625833568,0.9317796482771756,21.979862578371737
3,1.1229686007119608,0.774468085106383,0.7489361702127659,0.7613628634503814,0.7272272166402255,0.7809527799389551,0.704086302713305,0.7685359031880771,0.7771062271062271,0.9742496061828494,0.895344007176894,23.017351678077212
4,0.8948903904444929,0.7957446808510639,0.7659574468085106,0.7773016576551148,0.7205238228233056,0.8060009654428258,0.7227089158123642,0.7838996518561736,0.7647130647130647,0.9604413381289563,0.934031231892864,21.974964344755133
5,0.7575101450733517,0.7787234042553192,0.8170212765957446,0.7649137265121919,0.7934295877798703,0.8033356932516597,0.7766262000086099,0.7640049660484443,0.8166361416361417,0.9589223007319649,0.9228818247523173,23.003690800768265
6,0.6379662566426871,0.8127659574468085,0.8170212765957446,0.7809069949222943,0.8035773414411486,0.7915011548479041,0.8281755112418727,0.7860564672303803,0.7882173382173382,0.9693383813336883,0.9138599136971278,22.993736064180414
7,0.665758609123852,0.8212765957446808,0.7872340425531915,0.7982405077048015,0.7718393281011435,0.7962789929708535,0.7504466838193253,0.8114755409103236,0.8083028083028082,0.9561845454269093,0.9190818473792923,12.432824804427776
8,0.5184749753038952,0.8212765957446808,0.7702127659574468,0.795103677975771,0.7737590675390461,0.8248005146637685,0.7591786630956366,0.7862868584607715,0.798076923076923,0.9716712832504385,0.9101296669079483,21.832867886157747
9,0.44466531190319336,0.825531914893617,0.8,0.7820267238569494,0.7750887939385009,0.7785630556162427,0.808981764639257,0.8032140331270765,0.7561660561660561,0.9689061797088702,0.9179469695578288,11.234870870062647
10,0.4559425479745951,0.8170212765957446,0.8170212765957446,0.7958774964552748,0.7793109824195493,0.8618525000105309,0.8288759689922479,0.7958114079418428,0.749969474969475,0.96342620773626,0.920070904494457,22.69517918850513
