epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,1.4617149508916414,0.868020304568528,0.6395939086294417,0.8678534571723426,0.5219024488969843,0.8758034418411778,0.5181978349317059,0.8819005478297514,0.5706074235609468,0.9823008849557522,0.9021183320167807,7.925734302114108
2,1.0327830927876325,0.9593908629441624,0.649746192893401,0.9587261680284936,0.5341509433962264,0.9567347789824854,0.536241627085617,0.9615465655288664,0.5621834537276815,0.9839865149599664,0.9299719888224601,5.378539187048897
3,1.0039347163759744,0.9644670050761421,0.7157360406091371,0.9639316820547694,0.6421698667572887,0.961662505201831,0.7628197519874386,0.9674989464812473,0.660222615964745,0.9891487568478718,0.927741000209451,5.573929868978897
4,0.9166548911195534,0.9187817258883249,0.6649746192893401,0.918172377985462,0.5509792917029367,0.9171823432343233,0.6155072463768116,0.9261483354403708,0.5864208804688565,0.985566793088917,0.9158321268172503,5.646542244151159
5,0.8111917324937307,0.9746192893401016,0.7157360406091371,0.9740959894806048,0.6342594310451453,0.9734243697478991,0.6616648511256354,0.9748209018120522,0.6517568488483031,0.9895701643489254,0.909011957040432,6.599017206182334
6,0.7347062877737559,0.9593908629441624,0.7106598984771574,0.9580672626649638,0.6038511917535224,0.9641779788838613,0.633856208241341,0.9539085545722714,0.6082004452319295,0.9867256637168141,0.9272683289382975,6.2733967292127275
7,0.6256618425250053,0.8477157360406091,0.583756345177665,0.847680412371134,0.5179630226650522,0.8612330198537095,0.5461472508998426,0.8642014327855035,0.5514329199036845,0.9827222924568058,0.8674350991531508,6.28250383483577
8,0.5990166881909738,0.9543147208121827,0.6903553299492385,0.9536264483561321,0.5864025032891893,0.9514148980441115,0.6709716599190283,0.9571217867678045,0.5864708554813503,0.9850400337126001,0.9065980091178074,6.315276102366181
9,0.5698760322366769,0.9644670050761421,0.6903553299492385,0.9636234139650215,0.6151021763624502,0.9643838511942506,0.641054131054131,0.9629161399072903,0.6204488664758528,0.9831436999578592,0.9050040884209954,7.818622637521191
10,0.5169324079671731,0.9543147208121827,0.6954314720812182,0.9533727810650887,0.6124012080456153,0.9527310924369747,0.6463818912011684,0.9540665823851664,0.6298010085866157,0.9818794774546987,0.9082802657362821,5.761948938902259
