epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,1.4894725362268777,0.7055837563451777,0.6446700507614214,0.6999474789915967,0.5194966995924959,0.78765664160401,0.49381571815718156,0.741835229667088,0.5708981872700013,0.9435313948588284,0.8615061525381075,23.919264072089025
2,1.3187563293255293,0.883248730964467,0.583756345177665,0.8824734780691516,0.5067003617766954,0.8822164948453608,0.5234977016381748,0.8905920775389802,0.5087674344645858,0.9746101980615254,0.8609561140464672,23.588617441012776
3,1.1101366201272378,0.8883248730964467,0.5279187817258884,0.8874870197300104,0.4107325813208166,0.8867058580858085,0.45002262443438906,0.8950168563000421,0.4690627413565944,0.9735566793088918,0.8605543146397319,22.781913050540208
4,0.9507156318196883,0.9137055837563451,0.6395939086294417,0.9129790827595168,0.5257757296466974,0.9116099071207431,0.5077291426475212,0.9201959544879899,0.5744336922447866,0.9757690686894226,0.8609331147062591,24.42744419659455
5,0.8256824414890546,0.9137055837563451,0.6091370558375635,0.9128068942175012,0.49604597083588675,0.9108767576509512,0.49807922730924126,0.9186683522966709,0.5165371859524782,0.9759797724399495,0.8544444158007692,21.654362605913036
6,0.7820673434493634,0.9644670050761421,0.6649746192893401,0.9637343852728468,0.5259678352398034,0.963077731092437,0.4981547619047618,0.9644437420986094,0.5572650038617055,0.9874631268436578,0.8596216138801095,10.114533041939518
7,0.6975167074169104,0.9390862944162437,0.6446700507614214,0.9379201680672269,0.5431209074066217,0.9367798030588728,0.5802609880325366,0.9392646439106616,0.5714347371768661,0.9750316055625791,0.8803947234410219,23.71194519972438
8,0.624062402961919,0.9390862944162437,0.6192893401015228,0.9371008939974457,0.5375120739551832,0.9429541047188106,0.5680555555555555,0.9331542351453856,0.5271550588342192,0.9700800674252003,0.8676047178692787,7.456288119863133
9,0.5455551631748676,0.9390862944162437,0.6294416243654822,0.9373276776246023,0.536408226959743,0.9408119658119658,0.5574038490958602,0.9346818373367045,0.5442051701422017,0.9798777918246945,0.8705217138753498,24.222503458787948
10,0.5422127144411206,0.934010152284264,0.6446700507614214,0.931172565777097,0.5715865611378043,0.9447635881573133,0.5972008420284283,0.9241466498103665,0.587807005588115,0.9836704593341762,0.8998529652829262,23.745817581409124
