epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.6498925478562065,0.25957446808510637,0.8680851063829788,0.14381710877347462,0.8337010616487947,0.202931488801054,0.8334855681402997,0.17389130434782607,0.833943833943834,0.691955183529466,0.9670691695640182,9.120033142414497
2,2.2122281530629033,0.2680851063829787,0.8936170212765957,0.23727085520483518,0.875767689409742,0.22509313994276398,0.8749698067632851,0.2629031620553359,0.8772588522588523,0.6897699778257781,0.9734189338300198,9.11608452492572
3,2.155621081158735,0.2851063829787234,0.8765957446808511,0.25703034753724496,0.8648746681678171,0.24922891907187322,0.8393806485911749,0.3083465085638999,0.9052808302808303,0.7034893756682691,0.9675453332031738,9.041433131441156
4,2.06621952160545,0.3021276595744681,0.8595744680851064,0.26421296812070405,0.8201185622899686,0.35026281515946867,0.8000636056450009,0.3465375494071147,0.887087912087912,0.7093962213894984,0.9625883865163694,9.144490830441738
5,1.9904114526251089,0.33191489361702126,0.8808510638297873,0.23304611874247677,0.8503275261324043,0.23271749922202628,0.8396689497716895,0.2997633087633088,0.8796398046398046,0.7318680459719391,0.9769427411313872,4.709721626119411
6,1.9411857698274695,0.28936170212765955,0.8936170212765957,0.2560776593152334,0.8798264022952579,0.2722947454844006,0.8610535687143074,0.270739593348289,0.9061660561660562,0.7018564260165723,0.9724800032640544,8.787406759059175
7,1.8848372628723367,0.33617021276595743,0.8936170212765957,0.3075485221051507,0.8769766419903323,0.3167082590612002,0.8543483616654349,0.34179717266673787,0.9155067155067155,0.7063314472549539,0.9732347009402439,9.134937854523354
8,1.8767693474672842,0.3021276595744681,0.8936170212765957,0.2826106208449163,0.8672371668654937,0.29366943985412275,0.8491553249617766,0.3020382793861055,0.9026251526251526,0.7326496771848982,0.9809772767051769,8.841000211999772
9,1.748917628025663,0.33191489361702126,0.8893617021276595,0.2979614730846258,0.8691881818429144,0.2905161888737893,0.8468630268199234,0.31965876152832673,0.9033882783882784,0.7595040155091366,0.9761098199981365,9.143588898029734
10,1.7443185871925906,0.3659574468085106,0.902127659574468,0.3196082305755182,0.890844848816753,0.31974394747070906,0.9018559579535189,0.3537239967239967,0.881043956043956,0.7455461100233742,0.9731850465551269,9.278676864948679
