epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,38.61423763862023,0.9593908629441624,0.6802030456852792,0.9586134453781512,0.6587134463236153,0.9574167190446261,0.7340497737556562,0.9600189633375474,0.643399209486166,0.9853560893383903,0.913034716987122,4.914541534966018
2,25.83297190299401,0.9644670050761421,0.7411167512690355,0.9633760922104481,0.6850256252374782,0.9682471572623901,0.7309301404525286,0.9598609355246523,0.6642069874153831,0.9821955330804889,0.9210710612170097,4.882028260206813
3,21.249447107315063,0.9593908629441624,0.6852791878172588,0.9584913611462283,0.6724647559084846,0.9584913611462283,0.7321683299696796,0.9584913611462283,0.6694180182635956,0.9722924568057312,0.9253990877189816,5.034499967158749
4,19.40610357431265,0.934010152284264,0.8020304568527918,0.9333229191075009,0.7874732402866316,0.9312448304383788,0.7978758840821407,0.9394226717235566,0.7959679251283449,0.9691319005478298,0.9363157068790008,4.936917784250327
5,17.97443459584163,0.9847715736040609,0.8274111675126904,0.9843588725684795,0.8022849792294944,0.9870689655172413,0.8043333333333333,0.9821428571428572,0.8095693062559629,0.9806152549515381,0.9584755163005854,4.98146938188427
6,17.264330744743347,0.934010152284264,0.817258883248731,0.9331767775603392,0.8049189028012087,0.9309040016587187,0.8092316041392793,0.9378950695322377,0.8228263141156693,0.9788242730720607,0.970806213089363,4.964300823695768
7,16.437996084873493,0.9593908629441624,0.7563451776649747,0.9586134453781512,0.7636101549166767,0.9574167190446261,0.823299309386266,0.9600189633375474,0.7387301803643632,0.9844079224610198,0.9371344149744406,4.82973229461515
8,15.813557019600502,0.9644670050761421,0.8121827411167513,0.9632394103377495,0.7921467800703612,0.9708333333333333,0.7968209371208147,0.9583333333333333,0.8004175185134705,0.972819216182048,0.9509423178102671,5.034238553894353
9,15.342584353226881,0.9898477157360406,0.8477157360406091,0.9895899387021772,0.8395033468634926,0.991304347826087,0.8330876150876151,0.9880952380952381,0.8549543410113124,0.9920986093552465,0.963970182070611,4.938307147340726
10,15.053096166023842,0.9847715736040609,0.8629441624365483,0.9844100345564377,0.8637258268004816,0.9852039737898963,0.8559202287880325,0.9836704593341761,0.8772899913679524,0.9882005899705015,0.9714522632653558,4.7855377197265625
