epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.9769105012866035,0.3404255319148936,0.5872340425531914,0.15634448546670218,0.34538918641332256,0.14010082126993256,0.36094042212129307,0.19300979240109678,0.39926739926739924,0.7534478877883207,0.8112945185524003,11.802689572598071
2,2.5512183973754663,0.46382978723404256,0.6468085106382979,0.2505550664355696,0.5891296687808315,0.22501919414999758,0.5970791462573011,0.3231316098707403,0.7007936507936509,0.8452190216597966,0.8168265308997845,11.939792430147213
3,2.4415818055470786,0.46808510638297873,0.7361702127659574,0.27182051430893367,0.7119981779168315,0.26631775242301564,0.7952190170940171,0.31128416589286156,0.6777167277167276,0.8557658046207646,0.8259892936165345,11.495073805464076
4,2.001765223516934,0.49361702127659574,0.7489361702127659,0.34288683013346327,0.737185537640665,0.37525027402265254,0.718443094416398,0.3914373519156128,0.7642246642246642,0.8905352440921497,0.8881017402055935,12.060758915353329
5,1.7639391940572988,0.5957446808510638,0.7531914893617021,0.4971314611885619,0.7440259468508056,0.47554474421347487,0.7265487106633949,0.5546484706049922,0.7678876678876678,0.9032450858487184,0.9028426185700037,12.166081083581803
6,1.5551790370457415,0.5787234042553191,0.6893617021276596,0.5166733925560403,0.6322712080617175,0.5972333548804137,0.6708377518557794,0.5031835205530858,0.6458791208791209,0.889535700629003,0.8594680731956643,11.94654627049223
7,1.4769121503484421,0.6723404255319149,0.7829787234042553,0.6603443118703234,0.745506482091848,0.6798034745813218,0.8016098165034334,0.6724498286672199,0.7148656898656899,0.9413266086809859,0.9085419944244383,11.440556100074282
8,1.2350254568500796,0.6382978723404256,0.7617021276595745,0.6201108034201311,0.7301901105408067,0.6941574493045082,0.7651372030605296,0.6088832197962633,0.7361721611721612,0.921376433536287,0.9159969996195011,11.22688536948346
9,1.0295181784076968,0.6851063829787234,0.7914893617021277,0.6120364469674009,0.7869058829973127,0.6690825532028111,0.7703065134099617,0.6102909425083338,0.8084249084249086,0.9413751099878057,0.9137983277340376,11.615154591012509
10,0.999669251234635,0.5446808510638298,0.774468085106383,0.4651631701631701,0.7623312162147426,0.6107886593140677,0.7724144051204401,0.47130723761158544,0.7568986568986569,0.9046287735916877,0.9022888961097286,11.937927692494494
