epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,36.451173067092896,0.934010152284264,0.5634517766497462,0.9330159809588575,0.5478934288511853,0.9309196837286724,0.6047536771220983,0.9363674673409186,0.5742996683476443,0.9784028655710071,0.8556999909758076,7.606123909732412
2,25.43715642965757,0.9238578680203046,0.817258883248731,0.9227107472602203,0.7871043265893988,0.920672076570953,0.827494272618489,0.9259903076274758,0.7761928126845669,0.9722924568057311,0.9439866580983983,7.5359441302149435
3,22.274996977586014,0.9593908629441624,0.7766497461928934,0.9579059829059828,0.7584344422700586,0.9669421487603306,0.8083139299862561,0.9523809523809523,0.7294579982735906,0.9687104930467763,0.9237376143875528,7.567507361397525
4,20.130943756837112,0.9695431472081218,0.7411167512690355,0.9686638388123012,0.6612603607044358,0.9723824786324786,0.7134779987944545,0.9658133164770333,0.6617900140838671,0.9808259587020649,0.9102673779538817,7.7535972982493755
5,19.00862674529736,0.949238578680203,0.6802030456852792,0.9482668067226891,0.6752914768601043,0.9470982610517494,0.7475457875457876,0.9496418036241046,0.6814052064876652,0.9799831436999579,0.9265161073922445,7.620574254069837
6,19.523166298866272,0.9543147208121827,0.6954314720812182,0.9529121185562903,0.665338937811746,0.9576807552027462,0.7682361200008259,0.9494837758112094,0.6355585843441915,0.9743994943109987,0.9365986630641798,7.516104557792548
7,19.913671062542843,0.9695431472081218,0.7766497461928934,0.9688685208596712,0.7237694707474049,0.9688685208596712,0.7693112461167113,0.9688685208596712,0.7248430330289402,0.9813527180783818,0.9267315043506755,7.625169560388865
8,18.312529848172115,0.9543147208121827,0.766497461928934,0.9527363847199637,0.7439780749679319,0.9601731601731602,0.8010795351220883,0.9479561736198905,0.7334864385988824,0.9821955330804888,0.9550826574014204,7.595830762446835
9,18.242086107914265,0.9644670050761421,0.766497461928934,0.963504035993119,0.7477112003576881,0.9661025968497232,0.8094291063627448,0.9613885377159713,0.7286570351188042,0.9766118836915296,0.9285364482823762,7.612539426929454
10,18.24232914814582,0.9593908629441624,0.7309644670050761,0.9580672626649638,0.7080999947148671,0.9641779788838613,0.7498214968761954,0.9539085545722714,0.6909209031847713,0.9785082174462706,0.9360300658377577,7.585496466777046
