epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,39.309408270794414,0.5829787234042553,0.9361702127659575,0.44471116122330834,0.9342146540830717,0.5228824178407916,0.9423178776060475,0.46497906480515167,0.9272588522588522,0.9010912321512577,0.9878532395362191,4.829882560892308
2,26.881009336830914,0.6297872340425532,0.8978723404255319,0.5284487587000145,0.902921376073127,0.608085920065836,0.9321262678926913,0.5486743786961178,0.8831807081807082,0.9309256870627427,0.9814212212259812,4.642284677383747
3,24.034349690312926,0.6851063829787234,0.9361702127659575,0.6375366188228081,0.9404081632653062,0.6704968944099379,0.9344859584859585,0.6578996299431082,0.9485958485958487,0.9593168962180686,0.9882727887729948,4.713384141313268
4,21.913059041120004,0.6978723404255319,0.9404255319148936,0.5987788205668625,0.9329632744603309,0.6440103189493434,0.9283262476033561,0.6339995398256267,0.9402625152625154,0.9573889362136386,0.9884923553448178,4.5608266871026215
5,20.603584317193516,0.7787234042553192,0.9063829787234042,0.7140310852325775,0.8978067929680833,0.7222842390668477,0.8847673160173161,0.7344805206544338,0.9229548229548229,0.9746815696282187,0.9828439266657895,4.556431668869993
6,19.26178991621819,0.7659574468085106,0.9531914893617022,0.716842486905416,0.9534051514433671,0.7832223015080159,0.9538184879093969,0.7082255292690076,0.9530219780219781,0.968260046934138,0.9869133302571383,4.677314961210211
7,18.69661942081175,0.7574468085106383,0.9404255319148936,0.7605126105584288,0.9435004400237409,0.8168066573948927,0.9454486466444197,0.7628555518120737,0.9420329670329671,0.9698075953636304,0.9877884102755315,4.608188791477933
8,18.02996267788652,0.7617021276595745,0.9319148936170213,0.7451170344212411,0.9365745098584352,0.7654328146960883,0.950556467797847,0.7565717200934593,0.9244810744810744,0.969192036399833,0.982724381513275,4.666565834207738
9,17.883598700813625,0.825531914893617,0.9319148936170213,0.7963308573991634,0.9316017316017317,0.834147727454179,0.9297254901960784,0.7948743587004456,0.9347069597069598,0.9742165727796751,0.9906576277017242,4.667085282346036
10,17.248523159303527,0.7702127659574468,0.9319148936170213,0.750310889476246,0.9266368604073522,0.7893082233471249,0.9204252420571205,0.7683854562984999,0.9347069597069598,0.975751655223459,0.9813269993318418,5.474051008833216
