epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.573076251624287,0.5234042553191489,0.8297872340425532,0.38958555736137535,0.8257215897531159,0.4671184474440288,0.8084931413098789,0.41073158960115475,0.8480769230769231,0.9012015567350751,0.9545650559497666,5.869128856253116
2,1.8169387786284736,0.6595744680851063,0.8468085106382979,0.5657104707522718,0.7918051910177896,0.5847097797685704,0.8903236625859466,0.6001076753250666,0.7507326007326007,0.9432168313515431,0.9667767287013115,7.629376269401388
3,1.4458375910054082,0.6851063829787234,0.8680851063829788,0.587125410965774,0.8363809327664748,0.5996019754740685,0.8332467532467532,0.6138979152457413,0.8490842490842492,0.9303092737439295,0.9724736246459922,7.401286794784221
4,1.2786470332007478,0.7319148936170212,0.902127659574468,0.7001449559029146,0.8868912117692606,0.7986070551151904,0.8858201058201058,0.7116283297587647,0.8894993894993896,0.9470826564358354,0.978416183453274,5.6470201370563915
5,1.0814173567122307,0.6936170212765957,0.8851063829787233,0.6325924239159534,0.863111408138976,0.726249257278669,0.8878552971576227,0.6283333771594641,0.8441697191697192,0.9511307646580253,0.966877582697694,5.66047506129488
6,0.9284327297970869,0.7531914893617021,0.9148936170212766,0.7285026366840764,0.9146990166345006,0.757129690811467,0.9048133153396312,0.7421832233571364,0.9262515262515262,0.9625722247698556,0.9849637832117741,5.807650342900702
7,0.8737742512122445,0.7319148936170212,0.8808510638297873,0.7232489417301159,0.8820109911219612,0.7966627942097444,0.8863841133864017,0.7482057664231577,0.8782661782661783,0.9551318234202816,0.9702925698062727,7.723846841365733
8,0.7785397215165953,0.7829787234042553,0.6936170212765957,0.7274920573594411,0.6582344404653232,0.720915027348188,0.7668051220291493,0.7500272352011483,0.6749084249084248,0.9674570977571747,0.9359352639560757,7.745904110847635
9,0.7386669909608536,0.7702127659574468,0.8680851063829788,0.6867101318482567,0.8877275707928498,0.7023281149470649,0.9199999999999999,0.7114622848753284,0.8864468864468864,0.9566029315248056,0.9814055303664823,5.730174450164146
10,0.740867521667826,0.7404255319148936,0.8765957446808511,0.6940066888428615,0.8521776769506877,0.7054112155804189,0.8805783756131323,0.7196737034997904,0.8354700854700855,0.9370486662391544,0.9608482540957297,5.617679433619722
