epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.8950794019560884,0.39574468085106385,0.6212765957446809,0.18220827009170568,0.5354707871949251,0.17069066432543167,0.6728205128205128,0.22975558166862514,0.5428266178266178,0.7195018518654446,0.7843797355310852,15.36110411299036
2,2.6411122550135073,0.4340425531914894,0.6851063829787234,0.31306812617384394,0.6260390848037171,0.3168134226728852,0.7034911242603551,0.352398871203219,0.6106532356532357,0.799825651605725,0.8637153597827408,15.296665151068504
3,2.4072568330211914,0.4425531914893617,0.6595744680851063,0.31491806205254136,0.6057377049180328,0.32909051866689865,0.7267421833598305,0.33308318199622544,0.5971306471306471,0.8112159931746149,0.8368008287779564,15.409096251142786
4,2.2626458527385322,0.4723404255319149,0.7021276595744681,0.2912129300048763,0.6658160424063732,0.3265955776249894,0.7666666666666666,0.30782172488694226,0.6533272283272283,0.8325818296590949,0.8774551387512443,16.1317784735497
5,1.8718270080676978,0.5659574468085107,0.6893617021276596,0.43553116539975106,0.643965393965394,0.4505443223630583,0.6432361349342481,0.4696540817192991,0.728083028083028,0.8944853976296783,0.8735265415339596,5.042095387235602
6,1.6406228179517,0.6170212765957447,0.7489361702127659,0.4830631694079603,0.7401833645409298,0.4581710840121117,0.7328526348490051,0.5478065733717908,0.7637362637362637,0.9055991527683238,0.8920052389246701,15.17786573856435
7,1.3757622043291728,0.6425531914893617,0.7702127659574468,0.5451484411967329,0.7512334017272249,0.5726611724714191,0.7519013109157084,0.5448136375962462,0.7541208791208791,0.9200212220257891,0.9083777085801605,16.245038458641538
8,1.2363044213557588,0.723404255319149,0.7617021276595745,0.7181133259324246,0.7407281772953415,0.7676268589026025,0.7615115115115115,0.6933625516668995,0.7405982905982906,0.9365208389258998,0.907807760197004,15.342127008641018
9,1.1217664246973784,0.625531914893617,0.7361702127659574,0.5710248351000702,0.6767789209943688,0.6138762856992488,0.8126638619596366,0.5879978169108604,0.635927960927961,0.922753828891803,0.8941703271962904,14.953728939624543
10,0.9450594350911569,0.6468085106382979,0.7319148936170212,0.5990356634520173,0.6601272219249747,0.6596716615749221,0.6944879832810867,0.5917905740949219,0.6411172161172161,0.9274010524358586,0.8709713763314628,15.94385897859614
