epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,35.689825809918915,0.9390862944162437,0.7208121827411168,0.9371008939974457,0.5790374548661376,0.9429541047188106,0.5727092155676548,0.9331542351453856,0.6056944255145155,0.9748209018120523,0.925596614541876,5.546653331233766
2,24.792127526723423,0.9390862944162437,0.7258883248730964,0.9379201680672269,0.6005708913547713,0.9367798030588728,0.583452380952381,0.9392646439106616,0.6369224478669755,0.9747155499367889,0.9429794005180299,6.161257700266572
3,21.61664494184347,0.8274111675126904,0.8020304568527918,0.8273711340206185,0.7779128377447545,0.8406478578892371,0.8183448334611125,0.8434471133586178,0.7654768070510201,0.9639696586599241,0.9470731585889839,6.011811609800697
4,19.860720010904167,0.949238578680203,0.7461928934010152,0.9485370950888192,0.6570264574135541,0.9462097611630322,0.704097647244199,0.9526970080067425,0.6703670891826814,0.9913611462284029,0.9436381392013402,5.6100533093292695
5,18.4027068064763,0.9390862944162437,0.8071065989847716,0.9383861551292744,0.7942382010984013,0.936128364389234,0.8263106338397067,0.9438474504846186,0.7781536504475035,0.9797724399494311,0.9389536585711499,5.688088799491147
6,17.5839460171186,0.9543147208121827,0.7868020304568528,0.9527363847199637,0.7847603591907389,0.9601731601731602,0.8351755128929043,0.9479561736198905,0.7604211530598337,0.9854614412136536,0.9328475640384154,5.670670930504194
7,17.061853372133694,0.9593908629441624,0.8527918781725888,0.9586134453781512,0.8633622464266553,0.9574167190446261,0.8788982873851294,0.9600189633375474,0.8575057925582662,0.9850400337126001,0.9488117050680287,5.634385317110168
8,16.27666920882005,0.9543147208121827,0.7868020304568528,0.9537377690802349,0.7404560326912597,0.9513269749118806,0.7860389610389611,0.9586493889591234,0.7336309118168189,0.9910450906026127,0.9523928707213252,5.764990288594047
9,16.01820813692533,0.9187817258883249,0.817258883248731,0.9180191427382438,0.8050666952225607,0.9162879570336707,0.8195628646715605,0.9246207332490519,0.7998341738221797,0.984197218710493,0.9519605435351938,5.773595141880404
10,15.480553021797768,0.9746192893401016,0.766497461928934,0.9740167242607296,0.637142972779204,0.9747939124920736,0.6081453634085213,0.9732932996207333,0.6806006087865158,0.9958912768647282,0.9473110892905433,5.91363156507463
