epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,4.648161494213602,0.6382978723404256,0.7531914893617021,0.5616504744146363,0.7107285190498964,0.650701182082851,0.7495620827536728,0.5535081982255895,0.6874542124542123,0.9236251465091749,0.8901277147233256,5.363258402398292
2,3.408809388893238,0.6382978723404256,0.7319148936170212,0.5649135186605028,0.6784540489781797,0.6444393633337074,0.7456427015250545,0.5731381810512245,0.6594017094017094,0.9093711514260907,0.9032217654894351,5.036261741151201
3,3.0372399247210957,0.6595744680851063,0.7574468085106383,0.6160155603555086,0.7350793650793651,0.6466773477067594,0.8197033898305085,0.6137967522097958,0.7027167277167278,0.9514680357797752,0.9124803768858992,5.500204005139939
4,2.7808653928231504,0.723404255319149,0.7319148936170212,0.7041642735717836,0.7496951174499121,0.7257908983671696,0.7749577845322526,0.7053966620923142,0.7432844932844933,0.9562059521534444,0.8830487683017046,4.881852738400723
5,2.589724944985431,0.7872340425531915,0.7702127659574468,0.7649371967834923,0.7676190476190476,0.8287726462726462,0.7731882496588378,0.7649011008576226,0.7829365079365079,0.9697187985303094,0.9163592035640254,5.386201371537878
6,2.504218524780826,0.7319148936170212,0.7914893617021277,0.7313239297046904,0.7913250993474223,0.7703599373240484,0.7768115942028985,0.7178245393462785,0.8093101343101342,0.9634346340263095,0.9123621224270306,5.558681488037109
7,2.463512116584225,0.723404255319149,0.7574468085106383,0.714317599572974,0.7084548276955523,0.7448447374632616,0.7496005934040854,0.71393997737476,0.6844322344322346,0.9573118393698057,0.900060712711135,5.675014536431496
8,2.3312829992045527,0.8042553191489362,0.8,0.7695583297471151,0.78449977912627,0.7991544593239508,0.778536488406029,0.7754933041889565,0.7917582417582417,0.9655742074496111,0.9232055777254624,5.620232034236827
9,2.266463283179463,0.774468085106383,0.7361702127659574,0.7667443520147657,0.6978740377029155,0.8018514547782841,0.6786899052922876,0.7639549029114246,0.7541208791208791,0.9640378791127391,0.8947859509548156,6.469048845007064
10,2.172770507093789,0.7957446808510639,0.7829787234042553,0.7887152593680984,0.7608347754649172,0.8364490792584297,0.7473443746430611,0.7780592748418835,0.7850732600732601,0.960306675317056,0.9024650585999238,5.563436670506254
