epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,5.235861049182173,0.6425531914893617,0.8723404255319149,0.5680753155139111,0.8497885640742785,0.5996817367220593,0.9059290780141844,0.5684576393054653,0.8162698412698411,0.9289596155071335,0.9634779985794822,6.1156942489299375
2,3.2231352519297944,0.676595744680851,0.8893617021276595,0.6319989261702122,0.8666790396289944,0.7120180600338015,0.8596722270997951,0.6359650103128364,0.9056471306471306,0.955287554055773,0.9777077379390381,7.5399074148624505
3,2.3756809891134067,0.7361702127659574,0.9106382978723404,0.7078408452013901,0.9102609537310133,0.8297987862633172,0.90995818617302,0.679486037268646,0.9105921855921855,0.9483938640573651,0.981163396364303,5.871560725759952
4,1.9976137885148975,0.7148936170212766,0.9191489361702128,0.6765536030163815,0.8996119963658571,0.6720371500780498,0.8842726895980109,0.6967709427274645,0.9321733821733821,0.9429774306920627,0.9872833542620271,5.770202393227435
5,1.7978494011837503,0.8,0.8978723404255319,0.7693263607400758,0.8831116270174829,0.8200679982137784,0.884268351038377,0.756699445873359,0.8849511599511599,0.9643079714464861,0.9724104850701801,5.618519478655876
6,1.5832960778388425,0.8212765957446808,0.8808510638297873,0.7905441225441225,0.8822080775933925,0.7969153385769052,0.8708820360785076,0.8016398395963613,0.9036324786324785,0.9684646563493461,0.9714768751560428,7.470710226830016
7,1.293692195761031,0.7957446808510639,0.9106382978723404,0.7627881118810911,0.9031208442973148,0.7736979964342656,0.9192140839386602,0.785934370369153,0.8901404151404151,0.965615019939654,0.982256621849657,7.4517828352907864
8,1.2650940470073535,0.7829787234042553,0.9063829787234042,0.7717687862110668,0.9088628762541807,0.8073260540352459,0.8918263400436576,0.7679084691258604,0.93003663003663,0.9582521011644065,0.9816941062768386,5.3951446046220495
9,1.2195194709128228,0.8127659574468085,0.9106382978723404,0.7761329398174177,0.9091070818483035,0.791063194340295,0.9329631557637805,0.7792056212490995,0.8927960927960927,0.9666363203598962,0.9836615038291837,5.864239753560818
10,1.1457972288995548,0.8127659574468085,0.9191489361702128,0.7497632675527492,0.9072290822615107,0.7473980053252413,0.9433917078281695,0.7720373398634268,0.881043956043956,0.9612254998323241,0.9717771251765687,5.186230071047519
