epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,33.48815237558805,0.9796954314720813,0.6649746192893401,0.9792456805731142,0.5435898192993902,0.9792456805731142,0.5339591261451726,0.9792456805731142,0.5805760755985643,0.9941002949852508,0.9171245279739096,7.500088154361937
2,23.358887984202457,0.9644670050761421,0.7055837563451777,0.963837096478116,0.6741267428926198,0.9621734587251829,0.7399552516041877,0.9659713442899284,0.6588501203943482,0.9882005899705015,0.8995910974074235,7.420922293880869
3,21.08316208766057,0.9796954314720813,0.8020304568527918,0.9792456805731142,0.7393228512709032,0.9792456805731142,0.7780053130053128,0.9792456805731142,0.7304543182953978,0.994732406236831,0.9511354532037701,7.41519419674946
4,19.653629605586712,0.9695431472081218,0.8121827411167513,0.9689600840336134,0.7771502570493846,0.9677351770375027,0.7799857108835437,0.9703961230509903,0.7816246422243424,0.9892541087231354,0.9574639323046628,7.414779082167572
5,22.084418755311233,0.9796954314720813,0.7411167512690355,0.9792456805731142,0.6977678894227661,0.9792456805731142,0.7191486240685325,0.9792456805731142,0.6875753032574621,0.989464812473662,0.9215821836635628,7.33074560988373
6,26.38315905057467,0.9796954314720813,0.7360406091370558,0.9793067226890756,0.6580418312663912,0.9780536350303792,0.6636477325491409,0.9807732827644332,0.665354595429558,0.9936788874841973,0.9307980627092014,7.45440013517583
7,25.507183955265926,0.9644670050761421,0.7614213197969543,0.9637343852728468,0.7158473810885675,0.963077731092437,0.7818694794501246,0.9644437420986094,0.7337762936713462,0.9895701643489254,0.9302892161874363,7.336581418962043
8,25.95871824484605,0.9898477157360406,0.7055837563451777,0.9895899387021772,0.5861515617162556,0.991304347826087,0.6533563074352549,0.9880952380952381,0.6007623460996774,0.9953645174884113,0.9130467036917869,7.507943865006345
9,26.525407020862286,0.9898477157360406,0.700507614213198,0.9895899387021772,0.5966852380729435,0.991304347826087,0.6238202247191011,0.9880952380952381,0.6137594838944165,0.9962073324905183,0.9131452198015889,7.3524138649103
10,26.09445680104769,0.9847715736040609,0.7309644670050761,0.9843588725684795,0.6529216451635594,0.9870689655172413,0.6996083916083917,0.9821428571428572,0.6489800554268321,0.9892541087231352,0.9204430868908169,7.569118199614704
