epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,44.74318578968877,0.28936170212765955,0.7021276595744681,0.1619714184280215,0.4847714348206474,0.16141906339274759,0.4600265996748929,0.1738812448812449,0.5123321123321123,0.6775106508332638,0.8416277311610095,7.0011494007516415
2,35.326754335044086,0.502127659574468,0.7531914893617021,0.29429991166204833,0.7149074050201932,0.32007146634316286,0.7081798209996325,0.33711875511875505,0.7981684981684981,0.8416250831454792,0.9340140677220834,7.373743868888693
3,31.418117136195086,0.5361702127659574,0.7404255319148936,0.44321603291226835,0.6942167258648553,0.552356254856255,0.735237483953787,0.44915625659103925,0.768986568986569,0.8903873466834593,0.9612955310214737,7.085756545371197
4,28.820184569427933,0.5914893617021276,0.8297872340425532,0.5623004604874542,0.7745665818721282,0.613953823953824,0.7673943738459866,0.5860842529972964,0.8383394383394384,0.9113189641428499,0.9493561659052077,7.033576356603745
5,30.210910658905473,0.6085106382978723,0.8170212765957446,0.5321671412645721,0.7781635907951697,0.5608704040940883,0.796471919759591,0.5370445341967082,0.7829059829059829,0.9263985986863222,0.9433446419985674,7.088871205106694
6,27.43800279368525,0.7361702127659574,0.774468085106383,0.6579198333672017,0.7493433087620945,0.6690851497081695,0.7634754614414483,0.6749246710985841,0.744017094017094,0.9360709145490205,0.910300013938485,6.986217295869868
7,25.48421591606693,0.7574468085106383,0.7957446808510639,0.7791828514063553,0.7739707359357874,0.8059698025551685,0.7544126984126983,0.777437795655187,0.8161172161172162,0.9546681628296195,0.9194625810384105,7.041635919124523
8,26.331674714019332,0.7404255319148936,0.774468085106383,0.681217885143951,0.7490958350553337,0.710151763477796,0.7411674347158218,0.6722173063912195,0.7595543345543345,0.9365903883817218,0.9047681101972262,7.1034127093376
9,24.200307431428328,0.8,0.7659574468085106,0.8024471961866583,0.7538750722961249,0.8464621828036462,0.755811773528309,0.7850806017327757,0.7531135531135531,0.971539595845994,0.91079792438179,6.934288714794403
10,25.40101164665775,0.7702127659574468,0.7361702127659574,0.7590364460040655,0.705405002977963,0.8559646323254947,0.7381701631701633,0.748975416279764,0.7075091575091575,0.9627331819730444,0.8903856356112693,7.006137929064162
