epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,37.24169180943416,0.9543147208121827,0.7055837563451777,0.9536264483561321,0.6085753994192433,0.9514148980441115,0.6695316537467699,0.9571217867678045,0.6401076734360093,0.9861989043404973,0.9200041381767763,5.073462646019641
2,24.25084823828477,0.9695431472081218,0.7461928934010152,0.9689600840336134,0.6591213750788218,0.9677351770375027,0.7363471274488222,0.9703961230509903,0.6647053745854345,0.9890434049726086,0.9332235693981852,4.87283885781535
3,21.106896253732536,0.9796954314720813,0.7461928934010152,0.9793067226890756,0.7023613907332048,0.9780536350303792,0.7644927536231885,0.9807732827644332,0.6833328790150379,0.9892541087231354,0.9148394562917807,4.979228005191397
4,19.23544884645022,0.9593908629441624,0.766497461928934,0.9584913611462283,0.7233212467577375,0.9584913611462283,0.7861114470753024,0.9584913611462283,0.7044455045204671,0.9854614412136536,0.9492728701466948,5.316302255930634
5,17.87639031960414,0.9796954314720813,0.766497461928934,0.9792456805731142,0.7279355560443331,0.9792456805731142,0.8012411205850236,0.9792456805731142,0.7015337785652628,0.987779182469448,0.928268175667116,4.831133760171493
6,17.32262199658614,0.9695431472081218,0.6903553299492385,0.9687698161065315,0.6763267715280942,0.9704135737009544,0.7858772061329607,0.9673409186683523,0.6468247694334651,0.9863042562157606,0.9184432498866727,5.403204012643262
7,16.73527256342081,0.9746192893401016,0.7868020304568528,0.9740959894806048,0.7777278852316637,0.9734243697478991,0.8154625666849432,0.9748209018120522,0.7647140066330472,0.9871470712178677,0.9326410532875558,5.0133968972917735
8,16.277121800642746,0.9796954314720813,0.7461928934010152,0.9791798774043543,0.6896712545379484,0.9808589607635207,0.7510604712654463,0.9777180783817951,0.6690868202262504,0.9798777918246945,0.9450803508762066,4.959497354962499
9,15.872799093906696,0.9847715736040609,0.8223350253807107,0.9843588725684795,0.8027107295270888,0.9870689655172413,0.8151102025840606,0.9821428571428572,0.801955385943392,0.9864096080910241,0.9412819658513853,4.979733888267866
10,15.745476896946247,0.9695431472081218,0.7817258883248731,0.9690446260213703,0.7527889583246009,0.9670037531276063,0.7781943223041949,0.9719237252423094,0.7371223479169506,0.9873577749683944,0.9430858958946085,4.801272135700671
