epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,1.384316120010156,0.9441624365482234,0.6091370558375635,0.9433212146574947,0.4963499550763701,0.941167290886392,0.4868415888767415,0.9467446270543616,0.5298323565489982,0.988621997471555,0.8914322719114773,13.445395503552431
2,1.03802761177604,0.9390862944162437,0.583756345177665,0.938244514106583,0.5358372661547358,0.935981308411215,0.5936152965018945,0.9423198482932996,0.5209967743401026,0.9910450906026127,0.8639132568436686,13.645881323644959
3,0.8558406571929271,0.8375634517766497,0.6040609137055838,0.834453781512605,0.5136654041701918,0.8335952231301069,0.5637552103069344,0.8354930467762326,0.5360933169778747,0.9426885798567214,0.8654703230371938,11.8437721039438
4,0.6511471343155091,0.751269035532995,0.5939086294416244,0.7503426871847925,0.48087238689216016,0.7922222222222222,0.49048302574618363,0.7770754319426886,0.5287283630911818,0.9594395280235988,0.8496515290867757,13.11607530274367
5,0.5358278437589223,0.8781725888324873,0.7309644670050761,0.8772585669781932,0.6636283335330561,0.8765470297029703,0.7075971177944862,0.8846396965865992,0.6539471173504158,0.9696586599241467,0.9279525433023688,13.388801952303968
6,0.4618065971164749,0.9441624365482234,0.7411167512690355,0.9426491994177584,0.7082763581861581,0.9451362281822052,0.7154310547333802,0.9406342182890854,0.716831584207896,0.9872524230931311,0.92329499441623,13.073345126234335
7,0.43721214359482896,0.7868020304568528,0.6903553299492385,0.7866646039603961,0.6537881333948623,0.8136665951512551,0.6684436565323804,0.8080488832701223,0.6636445413656809,0.9649178255372945,0.8963715823310198,13.313370912813294
8,0.4031450005109386,0.8324873096446701,0.7055837563451777,0.8313749902731304,0.6837999238306762,0.8314432989690721,0.7058205980066445,0.8387062789717656,0.700368906455863,0.946165191740413,0.9082723644134468,7.014238289770136
9,0.31936669358625436,0.8426395939086294,0.6243654822335025,0.8426395939086294,0.6144481795464312,0.8613042562157607,0.6709354482968597,0.8613042562157607,0.6353286992867202,0.961441213653603,0.9024661063168409,13.47760016543006
10,0.3221323023138281,0.8071065989847716,0.6700507614213198,0.8068627450980392,0.6251809304338201,0.8145345220816919,0.6907821551775261,0.8196375895490939,0.6327113715869338,0.9469026548672566,0.9088924214462567,13.66422382103005
