epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.556898666464764,0.3829787234042553,0.825531914893617,0.3077302850522302,0.7902593295382668,0.2999831959854518,0.7845293209876543,0.3398013388882954,0.8337912087912088,0.7347129674970742,0.9504696460136394,11.681419737795567
2,2.2158649797024936,0.3276595744680851,0.8680851063829788,0.2493628640199408,0.8359682718534737,0.3366737383477981,0.8315062465323614,0.3054274828187872,0.8490842490842492,0.764287696766964,0.9655139122350126,11.962147976489778
3,1.8958293337752854,0.41702127659574467,0.8297872340425532,0.31521337675855354,0.7896435865765744,0.2916044030770538,0.8038073038073037,0.36262080262080265,0.7938949938949939,0.7771689636351822,0.974096766464374,4.874828013967961
4,1.8085141803907312,0.4127659574468085,0.8893617021276595,0.34782646011478835,0.8588479988981662,0.45577110821129957,0.8673205449521239,0.36939753861492985,0.8554029304029304,0.7827887850275222,0.977474422628451,11.861523161543177
5,1.713771963465041,0.33191489361702126,0.8808510638297873,0.31248048809178064,0.8518115942028986,0.3726139364511457,0.8606304985337244,0.33866158009636277,0.8440476190476192,0.7868795785403936,0.9732073810484073,11.895162501233688
6,1.5481675949649534,0.4,0.8765957446808511,0.36053209141918824,0.8666445814676683,0.41986354775828455,0.8718830020326812,0.378947553817119,0.8617216117216118,0.7870525063010125,0.973323736577394,11.860916462350398
7,1.43504522157752,0.4340425531914894,0.8680851063829788,0.3705262782970929,0.8389412672709938,0.5208052240096869,0.8564879564879565,0.37788399223181834,0.8277472527472528,0.7958204828916168,0.974845396874039,4.619302140905502
8,1.3113421020300493,0.4127659574468085,0.8978723404255319,0.37648940028574684,0.886417825975828,0.4136033411033411,0.8753928170594838,0.3889965897791985,0.8996031746031745,0.7941742844308859,0.9680351589897231,11.90926876473934
9,1.1983631952949192,0.4127659574468085,0.8638297872340426,0.4136343983137797,0.8434562086767503,0.5192614616421302,0.8591909882232462,0.4155535432057171,0.8302808302808303,0.82211358792187,0.9644626567272354,11.826201702686067
10,1.0528314113616943,0.43829787234042555,0.8936170212765957,0.3768079967108644,0.8806218735296749,0.3956152181152181,0.884556110773829,0.3852175008696748,0.8781440781440781,0.7948368443161193,0.972331084976871,12.147520958109105
