epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,3.0219145703774233,0.9746192893401016,0.6649746192893401,0.9739314542807993,0.5088137950215547,0.9765857811834824,0.48491475021865516,0.9717656974294142,0.5374685384580437,0.9911504424778761,0.8808188812155023,7.960750366830584
2,1.9481506187182207,0.9796954314720813,0.7258883248730964,0.9792456805731142,0.6887672096044788,0.9792456805731142,0.6969235123660624,0.9792456805731142,0.726943346508564,0.9920986093552465,0.9322286702902753,5.531019365726993
3,1.592823740381461,0.9746192893401016,0.6243654822335025,0.9740167242607296,0.6242112299465241,0.9747939124920736,0.7259149940968123,0.9732932996207333,0.6087369951387942,0.9865149599662874,0.9048852303775584,6.762548146514118
4,1.3929137604740949,0.9796954314720813,0.7817258883248731,0.9792456805731142,0.7428035292395827,0.9792456805731142,0.7784942673674069,0.9792456805731142,0.726171459724683,0.9879898862199746,0.9399206420212869,6.554620520112478
5,1.2335435421420977,0.9847715736040609,0.7461928934010152,0.9844100345564377,0.7117601696549065,0.9852039737898963,0.7480828883803713,0.9836704593341761,0.6941043114806235,0.9893594605983986,0.9086855415053096,5.678009865852782
6,1.1235680075792165,0.9847715736040609,0.7868020304568528,0.9844100345564377,0.7558362736216242,0.9852039737898963,0.8065334905892181,0.9836704593341761,0.7278242696833402,0.9885166455962916,0.9089571304669194,6.282043941129888
7,1.078420558801064,0.9746192893401016,0.7715736040609137,0.9740959894806048,0.7543692883223839,0.9734243697478991,0.7625109270761444,0.9748209018120522,0.7556371814092954,0.9842498946481246,0.9488059370974031,7.897080503744522
8,1.0668299014751728,0.934010152284264,0.7766497461928934,0.9333229191075009,0.7475526860514244,0.9312448304383788,0.7788023785995388,0.9394226717235566,0.7264240606969243,0.9856721449641803,0.9172936219174284,6.327310794501135
9,1.0465311677410052,0.9898477157360406,0.8527918781725888,0.9895899387021772,0.8412432012432012,0.991304347826087,0.8453972493294526,0.9880952380952381,0.8420844123392849,0.9890434049726086,0.9569372907804828,6.505302971389693
10,0.9292383245550669,0.9847715736040609,0.7360406091370558,0.9844100345564377,0.6948702241103458,0.9852039737898963,0.7298657460682778,0.9836704593341761,0.7073767661623733,0.9894121365360303,0.9386377653853899,6.355395776971343
