epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,1.879676179243968,0.8477157360406091,0.5025380710659898,0.8443426042983565,0.38766475356002034,0.8443426042983565,0.4441786971198736,0.8443426042983565,0.4264240606969243,0.9036030341340074,0.7932727070509813,12.429262780901139
2,1.5935732217935414,0.8934010152284264,0.45685279187817257,0.886673058485139,0.32220131466706803,0.9165501165501166,0.3657754010695187,0.876527602191319,0.398129117259552,0.9636536030341339,0.8286704239587426,12.254096529810562
3,1.3303887099027634,0.8781725888324873,0.5532994923857868,0.8764890282131661,0.4622846825745376,0.8746105919003115,0.5637896825396825,0.8800568900126422,0.5082408795602198,0.9634428992836073,0.8633515515453833,11.544317158345644
4,1.1767459964522948,0.8883248730964467,0.5685279187817259,0.8846849723286505,0.47881807873019183,0.889894419306184,0.6052374347797371,0.8812684365781711,0.481133069828722,0.9593341761483355,0.826228220600359,12.249854615497105
5,1.0296191000021422,0.8781725888324873,0.6548223350253807,0.8774621604810284,0.5253856439880188,0.8778086992372707,0.5036604475019109,0.8861672987779182,0.567011039934578,0.9710282343025706,0.851581361332509,12.304141436736597
6,0.9665634769659776,0.8883248730964467,0.5736040609137056,0.8878364389233955,0.4657176111024096,0.8895360824742269,0.4975321783578367,0.8980720606826802,0.5093344236972422,0.9690265486725663,0.8627148741674582,8.323495158084153
7,0.84265566817843,0.9441624365482234,0.6802030456852792,0.9424481449021326,0.5633251681239297,0.9471143531431023,0.591514828455127,0.9391066160977666,0.5806664849393486,0.9673409186683524,0.8667040614747709,12.469618453592213
8,0.7774540346402389,0.9187817258883249,0.6192893401015228,0.9174523360569872,0.5537949167966,0.9156588824020017,0.5794834788119724,0.9200379266750949,0.5681831811367044,0.9662873999157184,0.8826282503945457,11.948650863570005
9,0.7235876910675031,0.9289340101522843,0.6243654822335025,0.9273598820058997,0.521701846513382,0.9273598820058997,0.5292685963274198,0.9273598820058997,0.5536445413656808,0.9757690686894227,0.8693905801018639,5.13067342303126
10,0.7132098932678883,0.9238578680203046,0.5939086294416244,0.9220501727821889,0.4825998071589117,0.9227436060029592,0.4759834738904506,0.9214075010535188,0.50898914179274,0.9599662873999157,0.8374000693797768,12.337201742956482
